Id,Age_Range_20-25,Age_Range_26-30,Age_Range_31-35,Age_Range_36-40,Age_Range_40+,Gender,GP_Name,User_Rating,Review_Comment,Honest_Review
1,0,0,0,0,1,1,Dr. A,4,"Dr A is a physician in AIIMS hospital, he is very organized doctor. He never delays an appointment. He spends good time with patients to understand them thoroughly based on which he prescribe medicines. He has always helped and adviced in emergency situations as well.",1
2,0,0,0,0,1,1,Dr. A,2,"He is a doctor who talks with patients rudely and generally, there are delays in his appointments.",0
3,0,0,1,0,0,0,Dr PC,5,"Dr PC is a sincere compassionate, hardworking, ever diligent doctor. I recommend this doctor as she believes in providing evidence based care to her patients. She explains things in a very simple way and responds to every query even on phone. I feel satisfied as a patient. She is too efficient in her work. I visited her during my pregnancy and she has been very supportive and calm during the entire process. ",1
4,0,0,1,0,0,0,Dr PC,1,I am highly disappointed by the casual behavior of the doctor. I was not satisfied by the treatment provided. There was no explanation of the health issue and the treatment. There is no proper medical care and attention given to the patients.,0
5,0,1,0,0,0,0,Dr G,4,She is very good in diagnosis and moreover listens to patient with great patience. She is quite reachable in times of covid. ,1
6,0,1,0,0,0,0,Dr G,2,She charges very high and always directs or demands patients for useless tests. ,0
7,0,1,0,0,0,0,Dr. R,5,Great experience. I barely waited to be helped when I checked in. Dr. R was very friendly and helpful. I especially loved how he really took his time to explain my conditions with me as well as my treatment options. I had a great visit and the doctor?s demeanor has really put me at ease so I highly recommend this clinic,1
8,0,1,0,0,0,0,Dr. R,2,Worst experience ever. Advised too many medicines without explaining anything to me. I'll not visit this clinic again.,0
9,1,0,0,0,0,1,Dr AB,3,"The doctor is a very detail oriented doctor who pays a lot of attention to my problems and also explains the causes for those to me to prevent them in the future. On top of it, he is very compassionate and makes me feel comfortable in every visit. However, I feel that his high charges per visit is what makes him an unattractive option for minor health problems.",1
10,1,0,0,0,0,1,Dr AB,5,The doctor is the best doctor in the world and no other doctor comes close to him in level of expertise in this profession. He can cure health issues with ease and will also help you understand the cause so that you can take care of yourself. ,0
11,0,1,0,0,0,0,Dr Z,2,He early predicts the problem without proper diagnosis. Most of the time he prescribes high dose medicine without realising individuals tolerance. He doesn't listen to his patients patiently. ,1
